55D3	sang3(63)
55DA	wu1(11)
55E1	weng1(56)
55E6	suo5(30)
55E8	hai1(31)
55EC	he1(13)
55EF	en2(48) en3(48) en4(48) eng2(48) eng3(48) eng4(48)
55FD	sou5(39)
5600	di2(14)
5606	tan4(153)
5608	cao2(13)
560D	lou5(46)
5617	chang2(38)
5618	xu1(10)
561B	ma5(246) ma2(93)
5629	hua1(54)
562F	xiao4(21)
5631	zhu3(35)
5632	chao2(28)
5634	zui3(610)
5636	si1(14)
563B	xi1(42)
563F	hei1(76)
5653	xu1(10)
5662	o1(103)
5668	qi4(771)
566A	zao4(15)
5674	pen1(111)
5678	dun1(157)
5680	ning2(11)
5687	xia4(135)
56A8	long2(26)
56B4	yan2(633)
56B7	rang3(88)
56BC	jue2(15)
56D1	zhu3(35)
56DB	si4(2101)
56DE	hui2(2949)
56E0	yin1(1919)
56E2	tuan2(887)
56EA	cong1(28)
56ED	yuan2(258)
56F0	kun4(386)
56F1	cong1(28)
56F4	wei2(654)
56FA	gu4(326)
56FD	guo2(6416)
56FE	tu2(491)
5706	yuan2(197)
5708	quan1(169) juan4(12)
570B	guo2(6416)
570D	wei2(654)
5712	yuan2(258)
5713	yuan2(197)
5716	tu2(491)
5718	tuan2(887)
571F	tu3(858)
5723	sheng4(28)
5728	zai4(19364)
5730	de5(7394) di4(4976)
573A	chang3(773) chang2(141)
573E	ji1(38)
5740	zhi3(24)
5747	jun1(204)
574A	fang5(11)
574E	kan3(10)
574F	huai4(615)
5750	zuo4(1018)
5751	keng1(90)
5757	kuai4(929)
575A	jian1(695)
575D	ba4(24)
575F	fen2(46)
5760	zhui4(13)
5761	po1(103)
5766	tan3(77)
576F	pi1(24)
5782	chui2(88)
5783	la1(38)
5784	long3(28)
578B	xing2(317)
5792	lei3(28)
57A6	ken3(10)
57AB	dian4(24)
57AE	kua3(38)
57C3	ai1(33)
57CB	mai2(90) man2(14)
57CE	cheng2(592)
57DF	yu4(124)
57E0	bu4(12)
57F7	zhi2(218)
57F9	pei2(144)
57FA	ji1(895)
5802	tang2(180) tang5(10)
5805	jian1(695)
5806	dui1(233)
5821	bao3(24)
5824	di1(55)
582A	kan1(29)
5830	yan4(12)
5831	bao4(1019)
5834	chang3(773) chang2(141)
5835	du3(78)
584A	kuai4(929)
584C	ta1(32)
5851	su4(113)
5854	ta3(49)
5858	tang2(81)
585E	sai1(75) se4(13)
586B	tian2(53)
5875	chen2(81)
5883	jing4(280)
588A	dian4(24)
5893	mu4(23)
5899	qiang2(264)
589C	zhui4(13)
589E	zeng1(601)
58A8	mo4(50)
58A9	dun1(36)
58B3	fen2(46)
58BE	ken3(10)
58C1	bi4(149)
58D3	ya1(625)
58D5	hao2(28)
58D8	lei3(28)
58DE	huai4(615)
58DF	long3(28)
58E4	rang3(82)
58E9	ba4(24)
58EB	shi4(516) shi5(69)
58EE	zhuang4(174)
58EF	zhuang4(174)
58F0	sheng1(2269) sheng5(57)
58F3	ke2(67) qiao4(30)
58F6	hu2(47)
58FA	hu2(47)
58FD	shou4(20)
5904	chu4(661) chu3(357) chu5(149)
5907	bei4(784)
590D	fu4(558)
590F	xia4(197)
5915	xi1(30)
5916	wai4(2233)
591A	duo1(5568)
591C	ye4(799)
591F	gou4(991)
5920	gou4(991)
5922	meng4(129)
5927	da4(11596) dai4(177)
5929	tian1(5162) tian5(64)
592A	tai4(1379) tai5(337)
592B	fu5(396) fu1(102)
592E	yang1(393)
5931	shi1(525)
5934	tou2(3058) tou5(715)
5938	kua1(43)
5939	jia1(95) jia2(23)
593A	duo2(197)
593E	jia1(95) jia2(23)
5947	qi2(345)
5948	nai4(22)
5949	feng4(25)
594B	fen4(281)
594F	zou4(26)
5954	ben1(135) ben4(19)
5956	jiang3(69)
5957	tao4(227)
5960	dian4(26)
596A	duo2(197)
596E	fen4(281)
5973	nv3(1129) nv5(37)
5974	nu2(73)
5976	nai3(234) nai5(167)
5978	jian1(20)
5979	ta1(4477)
597D	hao3(6060) hao1(142) hao4(115)
5982	ru2(2323)
5984	wang4(48)
5987	fu4(321) fu5(28)
5988	ma1(1288) ma5(719)
5999	miao4(81)
59A5	tuo3(53)
59A8	fang2(22) fang1(13)
59B9	mei4(158) mei5(100)
59BB	qi1(69)
59C6	mu3(16)
59CA	zi3(10)
59CB	shi3(606)
59D0	jie5(237) jie3(180)
59D1	gu1(433) gu5(24)
59D3	xing4(232)
59D4	wei3(668)
59DC	jiang1(13)
59E8	yi2(55)
59FB	yin1(21)
59FF	zi1(48)
5A01	wei1(188)
5A03	wa2(44) wa5(44)
5A07	jiao1(12)
5A18	niang5(362) niang2(279)
5A1B	yu2(15)
5A31	yu2(15)
5A36	qu3(40)
5A46	po2(76) po5(66)
5A5A	hun1(89)
5A66	fu4(321) fu5(28)
5A74	ying1(35)
5A76	shen3(172) shen5(66)
5AB3	xi2(52)
5ABD	ma1(1288) ma5(719)
5AC1	jia4(54)
5AC2	sao3(320) sao5(14)
5ACC	xian2(37)
5AE9	nen4(26)
5B0C	jiao1(12)
5B30	ying1(35)
5B38	shen3(172) shen5(66)
5B50	zi5(6853) zi3(1114)
5B54	kong3(180)
5B57	zi4(676) zi5(138)
5B58	cun2(460)
5B59	sun1(19)
5B63	ji4(238)
5B64	gu1(54)
